#b l mag_J_2MASS mag_H_2MASS mag_K_2MASS mag_IRAC1 mag_IRAC2 mag_IRAC3 mag_IRAC4
-1.972425 335.004604 13.43 12.251 11.715 11.277 11.202 10.997 11.545
-2.0066 334.934525 14.254 13.273 12.905 12.487001 12.563 12.311 12.268
-2.011158 335.027129 12.84 12.001 11.705 11.479 11.46 11.305 11.249
-1.960578 334.962311 13.266 12.039 11.568 11.229999 11.428 11.131 11.136
-1.931828 334.998857 12.072 11.617 11.432 11.342 11.268 11.179 11.213
-2.033345 334.969818 14.676 13.642 13.317 13.023 13.156 12.674 12.678
-2.019756 335.014338 11.86 11.049 10.734 10.482 10.646 10.456 10.446
-1.978014 335.00638 14.238 13.12 12.768 12.571 12.576 12.249 12.224
-1.986686 335.043252 14.223 13.108 12.548 12.6 12.609 12.412 12.24
-1.982372 334.952273 11.807 11.012999 10.752 10.69 10.555 10.455 10.45
-2.028122 335.046147 14.195 13.113 12.849 12.658 12.672 12.339 12.235
-1.953631 335.009115 13.028 12.493 12.254 12.135 12.1 12.066 12.146
-2.00117 334.940886 11.682 10.769 10.492 10.316 10.415 10.28 10.255
-2.034214 334.976928 11.79 10.319 9.718 9.378 9.465 9.213 9.18
-2.026606 335.004212 12.976 12.111 11.786 11.649 11.598 11.639 11.531
-2.023031 334.973783 13.404 12.313 11.891 11.639 11.684 11.523 11.637999
-2.035353 335.0243 13.131 11.769 11.245 11.021 11.101 10.889 10.887
-1.972258 335.002119 14.236 13.104 12.711 12.384 12.365 12.272 12.206
-2.004186 335.020127 11.287 10.452 10.156 10.004 10.065 9.899 9.869
-1.932561 335.005021 11.411 10.063 9.545 9.203 9.328 9.115 9.134
-1.961314 334.97496 13.597 12.562 12.192 11.979 11.954 11.943 11.877
-1.943314 334.998515 12.673 11.456 10.988 10.744 10.937 10.678 10.629
-2.066242 334.989646 14.104 13.017 12.567 12.343 12.443 12.102 12.127
-2.015878 335.001708 12.992 11.588 11.032 10.668 10.912 10.616 10.655
-1.993267 335.044823 14.511 13.269 12.833 12.44 12.723 12.325 12.244
-2.055417 335.015614 13.317 12.057 11.601 11.346 11.353 11.375 11.267
-1.983739 334.948743 10.451 9.657 9.425 9.309 9.309 9.226 9.137
-2.020347 334.9938 9.961 8.656 8.165 7.879 8.033 7.829 7.797
-2.014775 334.973008 10.478 9.067 8.43 8.051 8.226 7.962 7.888
-2.032617 335.0202 12.477 11.589 11.271 11.046 11.242 11.003 11.053
-2.023686 335.011044 10.925 10.139 9.826 9.615 9.711 9.581 9.603
-2.050683 335.002125 13.548 12.826 12.575 12.417 12.158 12.268 12.312
-2.047056 334.968948 12.812 11.689 11.242 11.020001 11.128 10.95 10.948
-2.004231 334.97481 9.889 8.69 8.272 8.021 8.141 8.007 7.94
-1.995375 335.051227 12.303 11.085 10.602 10.329 10.429 10.311 10.252
-2.059653 335.006158 9.226 8.325 7.995 7.865 7.943 7.815 7.775
-1.987575 334.951854 9.542 8.202 7.592 7.232 7.397 7.163 7.055
-1.977842 335.051143 13.721 12.3 11.795 11.427 11.469 11.317 11.366
-2.04515 334.986289 13.49 12.927 12.766 12.643 12.57 12.575 12.523
-1.968503 335.006711 11.197 10.165 9.782 9.614 9.717 9.548 9.519
-2.017186 335.04613 13.745 12.479999 11.992 11.754 11.811 11.7 11.645001
-2.046708 334.999957 14.403 13.36 13.006 12.724 12.661 12.471 12.948
-2.00432 335.027804 11.848 11.548 11.415 11.349 11.249 11.51 11.219
-1.957375 335.017689 11.736 10.87 10.586 10.435 10.446 10.299 10.352
-2.045233 334.969429 14.536 13.326 12.861 12.571 12.609 12.457 12.494
-2.006308 335.020411 12.35 11.463 11.164 10.987001 10.995 10.93 10.938
-2.020292 334.959537 12.865 11.583 11.066 10.762 10.948 10.715 10.658
-1.999603 334.980232 10.898 9.962 9.656 9.52 9.524 9.41 9.341
-2.011331 334.97398 12.132 10.965 10.498 10.151 10.326 10.134 10.141
-2.052 334.979645 11.418 10.073 9.611 9.349 9.449 9.25 9.224
-2.032903 334.986681 13.303 12.375 12.12 11.886 11.865 11.699 11.798
-2.025892 334.976821 12.551 11.637 11.297 11.062 11.069 11.041 10.917
-2.031361 335.029275 13.547 12.462 12.048 11.714 11.771 11.781 11.724
-2.010533 335.056606 12.346 11.117 10.673 10.402 10.467 10.4 10.292
-1.987764 335.008084 14.539 13.368 12.95 12.743 12.824 12.291 12.376
-2.0188 335.038728 13.449 12.218 11.783 11.551 11.551 11.503 11.457
-1.993892 334.985781 13.104999 11.952 11.499 11.261 11.294 11.146 11.108
-2.027795 335.029867 12.589 11.545 11.229999 11.036 11.055 10.891 10.824
-2.032281 334.99388 11.79 10.96 10.64 10.431 10.376 10.433 10.342
-2.001295 334.951012 13.34 12.342 11.99 11.727 11.93 11.647 11.778
-1.936089 334.989219 13.151 12.595 12.424 12.279 12.179 12.183 11.931
-2.023245 335.040293 14.842 13.639 13.203 12.999 12.885 13.082 12.362001
-1.968295 334.994154 14.194 13.182 12.863 12.597 12.607 12.265 12.317
-1.966503 334.965734 11.874 11.402 11.271 11.123 11.163 11.183 11.208
-2.002833 335.051805 13.503 12.432 12.067 11.773 11.782 11.593 11.51
-1.993611 334.970803 13.268 12.226 11.881 11.613 11.634 11.42 11.56
-1.956003 335.025736 12.332 11.058 10.633 10.397 10.555 10.282 10.286
-2.010622 334.990443 13.012 11.799 11.309 11.031 11.16 11.056 10.909
-1.963003 335.001224 14.196 13.027 12.617 12.359 12.349 12.428 12.107
-1.986542 334.976613 13.595 12.33 11.851 11.520001 11.62 11.491 11.313
-2.021528 334.9889 13.862001 12.724 12.306 12.088 12.028 11.992 11.847
-1.987742 334.944036 14.01 12.631 12.205 11.911 11.847 11.735 11.67
-2.018708 335.035676 14.204 12.923 12.499 12.237001 12.215 11.893 11.812
-1.9685 335.014487 13.994 12.686 12.224 12.026 11.981 11.746 11.723
-1.995578 334.997269 14.348 13.4 13.035 12.721 12.668 12.563 12.727
-1.969747 334.96015 14.229999 13.079 12.58 12.346 12.531 12.267 12.254
-1.943458 334.99446 14.573 13.555 13.202 12.957 13.108 12.566 12.302
-2.004297 334.956746 12.822 11.831 11.473 11.215 11.298 11.1 11.176
-1.998308 334.982464 14.881 13.682 13.262 12.952 12.997 12.312 12.505
-1.949161 335.026347 12.143 11.243 10.933 10.751 10.819 10.707 10.717
-1.937031 335.010863 13.488 12.66 12.344 12.144 12.18 12.009 12.024
-1.996367 335.043425 13.488 12.541 12.223 11.953 11.982 11.779 11.884
-1.969883 335.027278 12.57 11.623 11.304 11.094 11.158 11.022 10.958
-2.024542 335.050786 13.755 12.865 12.592 12.391 12.445 12.209 12.579
